# valid (M,A0) pairs with |M|,|A0| <= 6 (ntok=4 check): 1288
PAIR baa babba len 3 5 ntok5 1 ntok6 1
PAIR baaa baab len 4 4 ntok5 1 ntok6 1
PAIR baaa baaba len 4 5 ntok5 1 ntok6 1
PAIR baaa babba len 4 5 ntok5 1 ntok6 1
PAIR baaa bbaab len 4 5 ntok5 1 ntok6 1
PAIR baaa baabb len 4 5 ntok5 1 ntok6 1
PAIR baaa babbaa len 4 6 ntok5 1 ntok6 1
PAIR baaa bbaaba len 4 6 ntok5 1 ntok6 1
PAIR baaa abbaba len 4 6 ntok5 1 ntok6 1
PAIR baaa baabba len 4 6 ntok5 1 ntok6 1
PAIR baaa babaab len 4 6 ntok5 1 ntok6 1
PAIR baaa bbbaab len 4 6 ntok5 1 ntok6 1
PAIR baaa baabab len 4 6 ntok5 1 ntok6 1
PAIR baaa abaabb len 4 6 ntok5 1 ntok6 1
PAIR baaa bbaabb len 4 6 ntok5 1 ntok6 1
PAIR baaa baabbb len 4 6 ntok5 1 ntok6 1
PAIR bbaa babaa len 4 5 ntok5 1 ntok6 1
PAIR bbaa babaaa len 4 6 ntok5 1 ntok6 1
PAIR bbaa bbabaa len 4 6 ntok5 1 ntok6 1
PAIR bbaa babaab len 4 6 ntok5 1 ntok6 1
PAIR aaba aabb len 4 4 ntok5 1 ntok6 1
PAIR aaba aabba len 4 5 ntok5 1 ntok6 1
PAIR aaba aaabb len 4 5 ntok5 1 ntok6 1
PAIR aaba baabb len 4 5 ntok5 1 ntok6 1
PAIR aaba aabbb len 4 5 ntok5 1 ntok6 1
PAIR aaba abbaba len 4 6 ntok5 1 ntok6 1
PAIR aaba aaabba len 4 6 ntok5 1 ntok6 1
PAIR aaba baabba len 4 6 ntok5 1 ntok6 1
PAIR aaba aabbba len 4 6 ntok5 1 ntok6 1
PAIR aaba aabbab len 4 6 ntok5 1 ntok6 1
PAIR aaba aaaabb len 4 6 ntok5 1 ntok6 1
PAIR aaba baaabb len 4 6 ntok5 1 ntok6 1
PAIR aaba bbaabb len 4 6 ntok5 1 ntok6 1
PAIR aaba aaabbb len 4 6 ntok5 1 ntok6 1
PAIR aaba baabbb len 4 6 ntok5 1 ntok6 1
PAIR aaba aabbbb len 4 6 ntok5 1 ntok6 1
PAIR aaab baab len 4 4 ntok5 1 ntok6 1
PAIR aaab baaba len 4 5 ntok5 1 ntok6 1
PAIR aaab bbaab len 4 5 ntok5 1 ntok6 1
PAIR aaab baabb len 4 5 ntok5 1 ntok6 1
PAIR aaab bbaaba len 4 6 ntok5 1 ntok6 1
PAIR aaab baabba len 4 6 ntok5 1 ntok6 1
PAIR aaab babaab len 4 6 ntok5 1 ntok6 1
PAIR aaab bbbaab len 4 6 ntok5 1 ntok6 1
PAIR aaab baabab len 4 6 ntok5 1 ntok6 1
PAIR aaab abaabb len 4 6 ntok5 1 ntok6 1
PAIR aaab bbaabb len 4 6 ntok5 1 ntok6 1
PAIR aaab baabbb len 4 6 ntok5 1 ntok6 1
PAIR baab baaa len 4 4 ntok5 1 ntok6 1
PAIR baab aaab len 4 4 ntok5 1 ntok6 1
PAIR baab baaaa len 4 5 ntok5 1 ntok6 1
PAIR baab bbaaa len 4 5 ntok5 1 ntok6 1
PAIR baab aaaba len 4 5 ntok5 1 ntok6 1
PAIR baab babba len 4 5 ntok5 1 ntok6 1
PAIR baab aaaab len 4 5 ntok5 1 ntok6 1
PAIR baab baaab len 4 5 ntok5 1 ntok6 1
PAIR baab aaabb len 4 5 ntok5 1 ntok6 1
PAIR baab baaaaa len 4 6 ntok5 1 ntok6 1
PAIR baab bbaaaa len 4 6 ntok5 1 ntok6 1
PAIR baab babaaa len 4 6 ntok5 1 ntok6 1
PAIR baab bbbaaa len 4 6 ntok5 1 ntok6 1
PAIR baab aaaaba len 4 6 ntok5 1 ntok6 1
PAIR baab baaaba len 4 6 ntok5 1 ntok6 1
PAIR baab aaabba len 4 6 ntok5 1 ntok6 1
PAIR baab aaaaab len 4 6 ntok5 1 ntok6 1
PAIR baab baaaab len 4 6 ntok5 1 ntok6 1
PAIR baab bbaaab len 4 6 ntok5 1 ntok6 1
PAIR baab aaabab len 4 6 ntok5 1 ntok6 1
PAIR baab aaaabb len 4 6 ntok5 1 ntok6 1
PAIR baab baaabb len 4 6 ntok5 1 ntok6 1
PAIR baab aaabbb len 4 6 ntok5 1 ntok6 1
PAIR aabb aaba len 4 4 ntok5 1 ntok6 1
PAIR aabb aaaba len 4 5 ntok5 1 ntok6 1
PAIR aabb baaba len 4 5 ntok5 1 ntok6 1
PAIR aabb aabab len 4 5 ntok5 1 ntok6 1
PAIR aabb aaaaba len 4 6 ntok5 1 ntok6 1
PAIR aabb baaaba len 4 6 ntok5 1 ntok6 1
PAIR aabb bbaaba len 4 6 ntok5 1 ntok6 1
PAIR aabb aababa len 4 6 ntok5 1 ntok6 1
PAIR aabb aaabab len 4 6 ntok5 1 ntok6 1
PAIR aabb baabab len 4 6 ntok5 1 ntok6 1
PAIR aabb aababb len 4 6 ntok5 1 ntok6 1
PAIR baaaa baab len 5 4 ntok5 1 ntok6 1
PAIR baaaa abbaa len 5 5 ntok5 1 ntok6 1
PAIR baaaa baaba len 5 5 ntok5 1 ntok6 1
PAIR baaaa babba len 5 5 ntok5 1 ntok6 1
PAIR baaaa baaab len 5 5 ntok5 1 ntok6 1
PAIR baaaa bbaab len 5 5 ntok5 1 ntok6 1
PAIR baaaa baabb len 5 5 ntok5 1 ntok6 1
PAIR baaaa babbaa len 5 6 ntok5 1 ntok6 1
PAIR baaaa baaaba len 5 6 ntok5 1 ntok6 1
PAIR baaaa bbaaba len 5 6 ntok5 1 ntok6 1
PAIR baaaa abbaba len 5 6 ntok5 1 ntok6 1
PAIR baaaa baabba len 5 6 ntok5 1 ntok6 1
PAIR baaaa abaaab len 5 6 ntok5 1 ntok6 1
PAIR baaaa bbaaab len 5 6 ntok5 1 ntok6 1
PAIR baaaa babaab len 5 6 ntok5 1 ntok6 1
PAIR baaaa bbbaab len 5 6 ntok5 1 ntok6 1
PAIR baaaa baabab len 5 6 ntok5 1 ntok6 1
PAIR baaaa aabbab len 5 6 ntok5 1 ntok6 1
PAIR baaaa baaabb len 5 6 ntok5 1 ntok6 1
PAIR baaaa abaabb len 5 6 ntok5 1 ntok6 1
PAIR baaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR baaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaaa len 5 5 ntok5 1 ntok6 1
PAIR abaaa abbaa len 5 5 ntok5 1 ntok6 1
PAIR abaaa baabb len 5 5 ntok5 1 ntok6 1
PAIR abaaa bbaaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa abbaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbbaaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa babbaa len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabba len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaaab len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabab len 5 6 ntok5 1 ntok6 1
PAIR abaaa abaabb len 5 6 ntok5 1 ntok6 1
PAIR abaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR abaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baab len 5 4 ntok5 1 ntok6 1
PAIR bbaaa abaaa len 5 5 ntok5 1 ntok6 1
PAIR bbaaa babaa len 5 5 ntok5 1 ntok6 1
PAIR bbaaa baaba len 5 5 ntok5 1 ntok6 1
PAIR bbaaa bbaab len 5 5 ntok5 1 ntok6 1
PAIR bbaaa baabb len 5 5 ntok5 1 ntok6 1
PAIR bbaaa abaaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa babaaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbabaa len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbaaba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abbaba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabba len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abaaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa babaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbbaab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabab len 5 6 ntok5 1 ntok6 1
PAIR bbaaa abaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa bbaabb len 5 6 ntok5 1 ntok6 1
PAIR bbaaa baabbb len 5 6 ntok5 1 ntok6 1
PAIR babaa bbaa len 5 4 ntok5 1 ntok6 1
PAIR babaa bbaaa len 5 5 ntok5 1 ntok6 1
PAIR babaa bbbaa len 5 5 ntok5 1 ntok6 1
PAIR babaa babba len 5 5 ntok5 1 ntok6 1
PAIR babaa bbaab len 5 5 ntok5 1 ntok6 1
