REC k=5 s=0,1,2 ab=2/1,3/1,4/3 q=1,1 t1=0 D=6 c=2
REC k=5 s=0,1,2 ab=2/1,4/1,5/4 q=1,1 t1=0 D=33 c=2
REC k=5 s=0,1,2 ab=2/1,5/1,6/5 q=1,1 t1=0 D=114 c=2
REC k=5 s=0,1,3 ab=2/1,4/1,5/3 q=1,1 t1=0 D=33 c=2
REC k=5 s=0,1,3 ab=3/0,4/1,5/0 q=1,2 t1=0 D=23 c=12
REC k=5 s=0,1,3 ab=3/0,5/1,6/0 q=1,2 t1=0 D=104 c=12
REC k=5 s=0,1,3 ab=3/2,4/2,5/1 q=1,2 t1=0 D=24 c=8
REC k=5 s=0,1,3 ab=3/2,5/2,6/1 q=1,2 t1=0 D=105 c=8
REC k=5 s=0,1,4 ab=2/1,4/2,6/5 q=1,3 t1=0 D=30 c=2
REC k=5 s=0,1,4 ab=2/1,5/1,6/3 q=1,1 t1=0 D=114 c=2
REC k=5 s=0,1,4 ab=4/2,5/3,6/1 q=1,2 t1=0 D=69 c=35
REC k=5 s=0,1,4 ab=4/2,5/4,6/4 q=1,3 t1=0 D=42 c=35
REC k=5 s=0,1,4 ab=4/3,5/4,6/3 q=1,3 t1=0 D=51 c=26
REC k=5 s=0,2,3 ab=3/1,4/1,5/4 q=1,1 t1=0 D=15 c=11
REC k=5 s=0,2,3 ab=3/1,5/1,6/5 q=1,1 t1=0 D=96 c=11
REC k=5 s=0,2,4 ab=3/1,5/1,6/4 q=1,1 t1=0 D=96 c=11
REC k=5 s=0,2,4 ab=3/1,5/1,6/4 q=2,2 t1=0 D=48 c=11
REC k=5 s=0,2,4 ab=4/0,5/1,6/0 q=1,2 t1=0 D=68 c=39
REC k=5 s=0,2,4 ab=4/2,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=5 s=0,3,4 ab=4/1,5/1,6/5 q=1,1 t1=0 D=42 c=38
REC k=5 s=1,2,3 ab=3/2,4/2,5/4 q=1,1 t1=0 D=18 c=5
REC k=5 s=1,2,3 ab=3/2,5/2,6/5 q=1,1 t1=0 D=99 c=5
REC k=5 s=1,2,4 ab=3/2,5/2,6/4 q=1,1 t1=0 D=99 c=5
REC k=5 s=1,2,4 ab=4/1,5/2,6/1 q=1,2 t1=0 D=69 c=35
REC k=5 s=1,2,4 ab=4/3,5/3,6/2 q=1,2 t1=0 D=72 c=23
REC k=5 s=1,3,4 ab=2/1,5/0,6/5 q=2,1 t1=0 D=41 c=-1
REC k=5 s=1,3,4 ab=3/2,4/1,5/2 q=2,1 t1=0 D=-3 c=5
REC k=5 s=1,3,4 ab=4/2,5/2,6/5 q=1,1 t1=0 D=45 c=32
REC k=5 s=2,3,4 ab=4/3,5/3,6/5 q=1,1 t1=0 D=54 c=14
